# SID Intervals for LFMN - Nice
# Available SIDs: BADOD, BASIP, BODRU, EPOLO, IRMAR, LANKO, LONSU, OKTET, PERUS, RUBAS, RUBIT, SODRI, TURIL, VAREK
# Format: <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

## RWY 04L
LFMN,04L,RUBIT,OKTET,2
LFMN,04L,RUBIT,PERUS,2
LFMN,04L,RUBIT,RUBAS,2
LFMN,04L,RUBIT,RUBIT,2
LFMN,04L,RUBIT,SODRI,2
LFMN,04L,RUBIT,TURIL,2
LFMN,04L,RUBIT,VAREK,2

LFMN,04L,SODRI,BADOD,2
LFMN,04L,SODRI,BASIP,2
LFMN,04L,SODRI,BODRU,2
LFMN,04L,SODRI,EPOLO,2
LFMN,04L,SODRI,IRMAR,2
LFMN,04L,SODRI,LANKO,2
LFMN,04L,SODRI,LONSU,2
LFMN,04L,SODRI,OKTET,2
LFMN,04L,SODRI,PERUS,2
LFMN,04L,SODRI,RUBAS,2
LFMN,04L,SODRI,RUBIT,2
LFMN,04L,SODRI,SODRI,2
LFMN,04L,SODRI,TURIL,2
LFMN,04L,SODRI,VAREK,2

LFMN,04L,TURIL,BADOD,2
LFMN,04L,TURIL,BASIP,2
LFMN,04L,TURIL,BODRU,2
LFMN,04L,TURIL,EPOLO,2
LFMN,04L,TURIL,IRMAR,2
LFMN,04L,TURIL,LANKO,2
LFMN,04L,TURIL,LONSU,2
LFMN,04L,TURIL,OKTET,2
LFMN,04L,TURIL,PERUS,2
LFMN,04L,TURIL,RUBAS,2
LFMN,04L,TURIL,RUBIT,2
LFMN,04L,TURIL,SODRI,2
LFMN,04L,TURIL,TURIL,2
LFMN,04L,TURIL,VAREK,2

LFMN,04L,VAREK,BADOD,2
LFMN,04L,VAREK,BASIP,2
LFMN,04L,VAREK,BODRU,2
LFMN,04L,VAREK,EPOLO,2
LFMN,04L,VAREK,IRMAR,2
LFMN,04L,VAREK,LANKO,2
LFMN,04L,VAREK,LONSU,2
LFMN,04L,VAREK,OKTET,2
LFMN,04L,VAREK,PERUS,2
LFMN,04L,VAREK,RUBAS,2
LFMN,04L,VAREK,RUBIT,2
LFMN,04L,VAREK,SODRI,2
LFMN,04L,VAREK,TURIL,2
LFMN,04L,VAREK,VAREK,2

## RWY 04R
LFMN,04R,BADOD,BADOD,2
LFMN,04R,BADOD,BASIP,2
LFMN,04R,BADOD,BODRU,2
LFMN,04R,BADOD,EPOLO,2
LFMN,04R,BADOD,IRMAR,2
LFMN,04R,BADOD,LANKO,2
LFMN,04R,BADOD,LONSU,2
LFMN,04R,BADOD,OKTET,2
LFMN,04R,BADOD,PERUS,2
LFMN,04R,BADOD,RUBAS,2
LFMN,04R,BADOD,RUBIT,2
LFMN,04R,BADOD,SODRI,2
LFMN,04R,BADOD,TURIL,2
LFMN,04R,BADOD,VAREK,2

LFMN,04R,BASIP,BADOD,2
LFMN,04R,BASIP,BASIP,2
LFMN,04R,BASIP,BODRU,2
LFMN,04R,BASIP,EPOLO,2
LFMN,04R,BASIP,IRMAR,2
LFMN,04R,BASIP,LANKO,2
LFMN,04R,BASIP,LONSU,2
LFMN,04R,BASIP,OKTET,2
LFMN,04R,BASIP,PERUS,2
LFMN,04R,BASIP,RUBAS,2
LFMN,04R,BASIP,RUBIT,2
LFMN,04R,BASIP,SODRI,2
LFMN,04R,BASIP,TURIL,2
LFMN,04R,BASIP,VAREK,2

LFMN,04R,BODRU,BADOD,2
LFMN,04R,BODRU,BASIP,2
LFMN,04R,BODRU,BODRU,2
LFMN,04R,BODRU,EPOLO,2
LFMN,04R,BODRU,IRMAR,2
LFMN,04R,BODRU,LANKO,2
LFMN,04R,BODRU,LONSU,2
LFMN,04R,BODRU,OKTET,2
LFMN,04R,BODRU,PERUS,2
LFMN,04R,BODRU,RUBAS,2
LFMN,04R,BODRU,RUBIT,2
LFMN,04R,BODRU,SODRI,2
LFMN,04R,BODRU,TURIL,2
LFMN,04R,BODRU,VAREK,2

LFMN,04R,EPOLO,BADOD,2
LFMN,04R,EPOLO,BASIP,2
LFMN,04R,EPOLO,BODRU,2
LFMN,04R,EPOLO,EPOLO,2
LFMN,04R,EPOLO,IRMAR,2
LFMN,04R,EPOLO,LANKO,2
LFMN,04R,EPOLO,LONSU,2
LFMN,04R,EPOLO,OKTET,2
LFMN,04R,EPOLO,PERUS,2
LFMN,04R,EPOLO,RUBAS,2
LFMN,04R,EPOLO,RUBIT,2
LFMN,04R,EPOLO,SODRI,2
LFMN,04R,EPOLO,TURIL,2
LFMN,04R,EPOLO,VAREK,2

LFMN,04R,IRMAR,BADOD,2
LFMN,04R,IRMAR,BASIP,2
LFMN,04R,IRMAR,BODRU,2
LFMN,04R,IRMAR,EPOLO,2
LFMN,04R,IRMAR,IRMAR,2
LFMN,04R,IRMAR,LANKO,2
LFMN,04R,IRMAR,LONSU,2
LFMN,04R,IRMAR,OKTET,2
LFMN,04R,IRMAR,PERUS,2
LFMN,04R,IRMAR,RUBAS,2
LFMN,04R,IRMAR,RUBIT,2
LFMN,04R,IRMAR,SODRI,2
LFMN,04R,IRMAR,TURIL,2
LFMN,04R,IRMAR,VAREK,2

LFMN,04R,LANKO,BADOD,2
LFMN,04R,LANKO,BASIP,2
LFMN,04R,LANKO,BODRU,2
LFMN,04R,LANKO,EPOLO,2
LFMN,04R,LANKO,IRMAR,2
LFMN,04R,LANKO,LANKO,2
LFMN,04R,LANKO,LONSU,2
LFMN,04R,LANKO,OKTET,2
LFMN,04R,LANKO,PERUS,2
LFMN,04R,LANKO,RUBAS,2
LFMN,04R,LANKO,RUBIT,2
LFMN,04R,LANKO,SODRI,2
LFMN,04R,LANKO,TURIL,2
LFMN,04R,LANKO,VAREK,2

LFMN,04R,LONSU,BADOD,2
LFMN,04R,LONSU,BASIP,2
LFMN,04R,LONSU,BODRU,2
LFMN,04R,LONSU,EPOLO,2
LFMN,04R,LONSU,IRMAR,2
LFMN,04R,LONSU,LANKO,2
LFMN,04R,LONSU,LONSU,2
LFMN,04R,LONSU,OKTET,2
LFMN,04R,LONSU,PERUS,2
LFMN,04R,LONSU,RUBAS,2
LFMN,04R,LONSU,RUBIT,2
LFMN,04R,LONSU,SODRI,2
LFMN,04R,LONSU,TURIL,2
LFMN,04R,LONSU,VAREK,2

LFMN,04R,OKTET,BADOD,2
LFMN,04R,OKTET,BASIP,2
LFMN,04R,OKTET,BODRU,2
LFMN,04R,OKTET,EPOLO,2
LFMN,04R,OKTET,IRMAR,2
LFMN,04R,OKTET,LANKO,2
LFMN,04R,OKTET,LONSU,2
LFMN,04R,OKTET,OKTET,2
LFMN,04R,OKTET,PERUS,2
LFMN,04R,OKTET,RUBAS,2
LFMN,04R,OKTET,RUBIT,2
LFMN,04R,OKTET,SODRI,2
LFMN,04R,OKTET,TURIL,2
LFMN,04R,OKTET,VAREK,2

LFMN,04R,PERUS,BADOD,2
LFMN,04R,PERUS,BASIP,2
LFMN,04R,PERUS,BODRU,2
LFMN,04R,PERUS,EPOLO,2
LFMN,04R,PERUS,IRMAR,2
LFMN,04R,PERUS,LANKO,2
LFMN,04R,PERUS,LONSU,2
LFMN,04R,PERUS,OKTET,2
LFMN,04R,PERUS,PERUS,2
LFMN,04R,PERUS,RUBAS,2
LFMN,04R,PERUS,RUBIT,2
LFMN,04R,PERUS,SODRI,2
LFMN,04R,PERUS,TURIL,2
LFMN,04R,PERUS,VAREK,2

LFMN,04R,RUBAS,BADOD,2
LFMN,04R,RUBAS,BASIP,2
LFMN,04R,RUBAS,BODRU,2
LFMN,04R,RUBAS,EPOLO,2
LFMN,04R,RUBAS,IRMAR,2
LFMN,04R,RUBAS,LANKO,2
LFMN,04R,RUBAS,LONSU,2
LFMN,04R,RUBAS,OKTET,2
LFMN,04R,RUBAS,PERUS,2
LFMN,04R,RUBAS,RUBAS,2
LFMN,04R,RUBAS,RUBIT,2
LFMN,04R,RUBAS,SODRI,2
LFMN,04R,RUBAS,TURIL,2
LFMN,04R,RUBAS,VAREK,2

LFMN,04R,RUBIT,BADOD,2
LFMN,04R,RUBIT,BASIP,2
LFMN,04R,RUBIT,BODRU,2
LFMN,04R,RUBIT,EPOLO,2
LFMN,04R,RUBIT,IRMAR,2
LFMN,04R,RUBIT,LANKO,2
LFMN,04R,RUBIT,LONSU,2
LFMN,04R,RUBIT,OKTET,2
LFMN,04R,RUBIT,PERUS,2
LFMN,04R,RUBIT,RUBAS,2
LFMN,04R,RUBIT,RUBIT,2
LFMN,04R,RUBIT,SODRI,2
LFMN,04R,RUBIT,TURIL,2
LFMN,04R,RUBIT,VAREK,2

LFMN,04R,SODRI,BADOD,2
