# SID Intervals for LFML - Marseille-Provence Airport
# Available SIDs: ETREK, FJR, LERGA, LUC, MADRA, MAMES, MTG, MTL, NASIK, SOSUR, TINOT, VATIR
# Format: <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

## RWY 13L
LFML,13R,LUC,TINOT,3
LFML,13R,LUC,VATIR,3

LFML,13R,MADRA,ETREK,3
LFML,13R,MADRA,FJR,3
LFML,13R,MADRA,LERGA,3
LFML,13R,MADRA,LUC,3
LFML,13R,MADRA,MADRA,3
LFML,13R,MADRA,MAMES,3
LFML,13R,MADRA,MTL,3
LFML,13R,MADRA,NASIK,3
LFML,13R,MADRA,SOSUR,3
LFML,13R,MADRA,TINOT,3
LFML,13R,MADRA,VATIR,3

LFML,13R,MAMES,ETREK,3
LFML,13R,MAMES,FJR,3
LFML,13R,MAMES,LERGA,3
LFML,13R,MAMES,LUC,3
LFML,13R,MAMES,MADRA,3
LFML,13R,MAMES,MAMES,3
LFML,13R,MAMES,MTL,3
LFML,13R,MAMES,NASIK,3
LFML,13R,MAMES,SOSUR,3
LFML,13R,MAMES,TINOT,3
LFML,13R,MAMES,VATIR,3

LFML,13R,MTL,ETREK,3
LFML,13R,MTL,FJR,3
LFML,13R,MTL,LERGA,3
LFML,13R,MTL,LUC,3
LFML,13R,MTL,MADRA,3
LFML,13R,MTL,MAMES,3
LFML,13R,MTL,MTL,3
LFML,13R,MTL,NASIK,3
LFML,13R,MTL,SOSUR,3
LFML,13R,MTL,TINOT,3
LFML,13R,MTL,VATIR,3

LFML,13R,NASIK,ETREK,3
LFML,13R,NASIK,FJR,3
LFML,13R,NASIK,LERGA,3
LFML,13R,NASIK,LUC,3
LFML,13R,NASIK,MADRA,3
LFML,13R,NASIK,MAMES,3
LFML,13R,NASIK,MTL,3
LFML,13R,NASIK,NASIK,3
LFML,13R,NASIK,SOSUR,3
LFML,13R,NASIK,TINOT,3
LFML,13R,NASIK,VATIR,3

LFML,13R,SOSUR,ETREK,3
LFML,13R,SOSUR,FJR,3
LFML,13R,SOSUR,LERGA,3
LFML,13R,SOSUR,LUC,3
LFML,13R,SOSUR,MADRA,3
LFML,13R,SOSUR,MAMES,3
LFML,13R,SOSUR,MTL,3
LFML,13R,SOSUR,NASIK,3
LFML,13R,SOSUR,SOSUR,3
LFML,13R,SOSUR,TINOT,3
LFML,13R,SOSUR,VATIR,3

LFML,13R,TINOT,ETREK,3
LFML,13R,TINOT,FJR,3
LFML,13R,TINOT,LERGA,3
LFML,13R,TINOT,LUC,3
LFML,13R,TINOT,MADRA,3
LFML,13R,TINOT,MAMES,3
LFML,13R,TINOT,MTL,3
LFML,13R,TINOT,NASIK,3
LFML,13R,TINOT,SOSUR,3
LFML,13R,TINOT,TINOT,3
LFML,13R,TINOT,VATIR,3

LFML,13R,VATIR,ETREK,3
LFML,13R,VATIR,FJR,3
LFML,13R,VATIR,LERGA,3
LFML,13R,VATIR,LUC,3
LFML,13R,VATIR,MADRA,3
LFML,13R,VATIR,MAMES,3
LFML,13R,VATIR,MTL,3
LFML,13R,VATIR,NASIK,3
LFML,13R,VATIR,SOSUR,3
LFML,13R,VATIR,TINOT,3
LFML,13R,VATIR,VATIR,3

## RWY 31L
LFML,31L,ETREK,ETREK,3
LFML,31L,ETREK,FJR,3
LFML,31L,ETREK,LERGA,3
LFML,31L,ETREK,LUC,3
LFML,31L,ETREK,MAMES,3
LFML,31L,ETREK,MTG,3
LFML,31L,ETREK,MTL,3
LFML,31L,ETREK,NASIK,3
LFML,31L,ETREK,SOSUR,3
LFML,31L,ETREK,TINOT,3
LFML,31L,ETREK,VATIR,3

LFML,31L,FJR,ETREK,3
LFML,31L,FJR,FJR,3
LFML,31L,FJR,LERGA,3
LFML,31L,FJR,LUC,3
LFML,31L,FJR,MAMES,3
LFML,31L,FJR,MTG,3
LFML,31L,FJR,MTL,3
LFML,31L,FJR,NASIK,3
LFML,31L,FJR,SOSUR,3
LFML,31L,FJR,TINOT,3
LFML,31L,FJR,VATIR,3

LFML,31L,LERGA,ETREK,3
LFML,31L,LERGA,FJR,3
LFML,31L,LERGA,LERGA,3
LFML,31L,LERGA,LUC,3
LFML,31L,LERGA,MAMES,3
LFML,31L,LERGA,MTG,3
LFML,31L,LERGA,MTL,3
LFML,31L,LERGA,NASIK,3
LFML,31L,LERGA,SOSUR,3
LFML,31L,LERGA,TINOT,3
LFML,31L,LERGA,VATIR,3

LFML,31L,LUC,ETREK,3
LFML,31L,LUC,FJR,3
LFML,31L,LUC,LERGA,3
LFML,31L,LUC,LUC,3
LFML,31L,LUC,MAMES,3
LFML,31L,LUC,MTG,3
LFML,31L,LUC,MTL,3
LFML,31L,LUC,NASIK,3
LFML,31L,LUC,SOSUR,3
LFML,31L,LUC,TINOT,3
LFML,31L,LUC,VATIR,3

LFML,31L,MAMES,ETREK,3
LFML,31L,MAMES,FJR,3
LFML,31L,MAMES,LERGA,3
LFML,31L,MAMES,LUC,3
LFML,31L,MAMES,MAMES,3
LFML,31L,MAMES,MTG,3
LFML,31L,MAMES,MTL,3
LFML,31L,MAMES,NASIK,3
LFML,31L,MAMES,SOSUR,3
LFML,31L,MAMES,TINOT,3
LFML,31L,MAMES,VATIR,3

LFML,31L,MTG,ETREK,3
LFML,31L,MTG,FJR,3
LFML,31L,MTG,LERGA,3
LFML,31L,MTG,LUC,3
LFML,31L,MTG,MAMES,3
LFML,31L,MTG,MTG,3
LFML,31L,MTG,MTL,3
LFML,31L,MTG,NASIK,3
LFML,31L,MTG,SOSUR,3
LFML,31L,MTG,TINOT,3
LFML,31L,MTG,VATIR,3

LFML,31L,MTL,ETREK,3
LFML,31L,MTL,FJR,3
LFML,31L,MTL,LERGA,3
LFML,31L,MTL,LUC,3
LFML,31L,MTL,MAMES,3
LFML,31L,MTL,MTG,3
LFML,31L,MTL,MTL,3
LFML,31L,MTL,NASIK,3
LFML,31L,MTL,SOSUR,3
LFML,31L,MTL,TINOT,3
LFML,31L,MTL,VATIR,3

LFML,31L,NASIK,ETREK,3
LFML,31L,NASIK,FJR,3
LFML,31L,NASIK,LERGA,3
LFML,31L,NASIK,LUC,3
LFML,31L,NASIK,MAMES,3
LFML,31L,NASIK,MTG,3
LFML,31L,NASIK,MTL,3
LFML,31L,NASIK,NASIK,3
LFML,31L,NASIK,SOSUR,3
LFML,31L,NASIK,TINOT,3
LFML,31L,NASIK,VATIR,3

LFML,31L,SOSUR,ETREK,3
LFML,31L,SOSUR,FJR,3
LFML,31L,SOSUR,LERGA,3
LFML,31L,SOSUR,LUC,3
LFML,31L,SOSUR,MAMES,3
LFML,31L,SOSUR,MTG,3
LFML,31L,SOSUR,MTL,3
LFML,31L,SOSUR,NASIK,3
LFML,31L,SOSUR,SOSUR,3
LFML,31L,SOSUR,TINOT,3
LFML,31L,SOSUR,VATIR,3

LFML,31L,TINOT,ETREK,3
LFML,31L,TINOT,FJR,3
LFML,31L,TINOT,LERGA,3
LFML,31L,TINOT,LUC,3
LFML,31L,TINOT,MAMES,3
LFML,31L,TINOT,MTG,3
LFML,31L,TINOT,MTL,3
LFML,31L,TINOT,NASIK,3
LFML,31L,TINOT,SOSUR,3
LFML,31L,TINOT,TINOT,3
LFML,31L,TINOT,VATIR,3

LFML,31L,VATIR,ETREK,3
LFML,31L,VATIR,FJR,3
LFML,31L,VATIR,LERGA,3
LFML,31L,VATIR,LUC,3
LFML,31L,VATIR,MAMES,3
LFML,31L,VATIR,MTG,3
LFML,31L,VATIR,MTL,3
LFML,31L,VATIR,NASIK,3
LFML,31L,VATIR,SOSUR,3
LFML,31L,VATIR,TINOT,3
LFML,31L,VATIR,VATIR,3
## RWY 31R
LFML,31R,ETREK,ETREK,3
LFML,31R,ETREK,FJR,3
LFML,31R,ETREK,LERGA,3
LFML,31R,ETREK,LUC,3
LFML,31R,ETREK,MAMES,3
LFML,31R,ETREK,MTG,3
LFML,31R,ETREK,MTL,3
LFML,31R,ETREK,NASIK,3
LFML,31R,ETREK,SOSUR,3
