# SID Intervals for LFPO - Paris-Orly
# Available SIDs: 
# Format: <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

## RWY 02
LFPO,02,OLZOM,DIKOL,2
LFPO,02,OLZOM,DORDI,2
LFPO,02,OLZOM,ELCOB,2
LFPO,02,OLZOM,ERIXU,2
LFPO,02,OLZOM,LGL,2
LFPO,02,OLZOM,MONOT,2
LFPO,02,OLZOM,NURMO,2
LFPO,02,OLZOM,OKASI,2
LFPO,02,OLZOM,OLZOM,2
LFPO,02,OLZOM,OPALE,2
LFPO,02,OLZOM,PILUL,2

LFPO,02,OPALE,AGOPA,2
LFPO,02,OPALE,ATREX,2
LFPO,02,OPALE,BUBLI,2
LFPO,02,OPALE,DIKOL,2
LFPO,02,OPALE,DORDI,2
LFPO,02,OPALE,ELCOB,2
LFPO,02,OPALE,ERIXU,2
LFPO,02,OPALE,LGL,2
LFPO,02,OPALE,MONOT,2
LFPO,02,OPALE,NURMO,2
LFPO,02,OPALE,OKASI,2
LFPO,02,OPALE,OLZOM,2
LFPO,02,OPALE,OPALE,2
LFPO,02,OPALE,PILUL,2

LFPO,02,PILUL,AGOPA,2
LFPO,02,PILUL,ATREX,2
LFPO,02,PILUL,BUBLI,2
LFPO,02,PILUL,DIKOL,2
LFPO,02,PILUL,DORDI,2
LFPO,02,PILUL,ELCOB,2
LFPO,02,PILUL,ERIXU,2
LFPO,02,PILUL,LGL,2
LFPO,02,PILUL,MONOT,2
LFPO,02,PILUL,NURMO,2
LFPO,02,PILUL,OKASI,2
LFPO,02,PILUL,OLZOM,2
LFPO,02,PILUL,OPALE,2
LFPO,02,PILUL,PILUL,2

## RWY 06
LFPO,06,AGOPA,AGOPA,2
LFPO,06,AGOPA,ATREX,2
LFPO,06,AGOPA,BUBLI,2
LFPO,06,AGOPA,DIKOL,2
LFPO,06,AGOPA,DORDI,2
LFPO,06,AGOPA,ELCOB,2
LFPO,06,AGOPA,ERIXU,2
LFPO,06,AGOPA,LGL,2
LFPO,06,AGOPA,MONOT,2
LFPO,06,AGOPA,NURMO,2
LFPO,06,AGOPA,OKASI,2
LFPO,06,AGOPA,OLZOM,2
LFPO,06,AGOPA,OPALE,2
LFPO,06,AGOPA,PILUL,2

LFPO,06,ATREX,AGOPA,2
LFPO,06,ATREX,ATREX,2
LFPO,06,ATREX,BUBLI,2
LFPO,06,ATREX,DIKOL,2
LFPO,06,ATREX,DORDI,2
LFPO,06,ATREX,ELCOB,2
LFPO,06,ATREX,ERIXU,2
LFPO,06,ATREX,LGL,2
LFPO,06,ATREX,MONOT,2
LFPO,06,ATREX,NURMO,2
LFPO,06,ATREX,OKASI,2
LFPO,06,ATREX,OLZOM,2
LFPO,06,ATREX,OPALE,2
LFPO,06,ATREX,PILUL,2

LFPO,06,BUBLI,AGOPA,2
LFPO,06,BUBLI,ATREX,2
LFPO,06,BUBLI,BUBLI,2
LFPO,06,BUBLI,DIKOL,2
LFPO,06,BUBLI,DORDI,2
LFPO,06,BUBLI,ELCOB,2
LFPO,06,BUBLI,ERIXU,2
LFPO,06,BUBLI,LGL,2
LFPO,06,BUBLI,MONOT,2
LFPO,06,BUBLI,NURMO,2
LFPO,06,BUBLI,OKASI,2
LFPO,06,BUBLI,OLZOM,2
LFPO,06,BUBLI,OPALE,2
LFPO,06,BUBLI,PILUL,2

LFPO,06,DIKOL,AGOPA,2
LFPO,06,DIKOL,ATREX,2
LFPO,06,DIKOL,BUBLI,2
LFPO,06,DIKOL,DIKOL,2
LFPO,06,DIKOL,DORDI,2
LFPO,06,DIKOL,ELCOB,2
LFPO,06,DIKOL,ERIXU,2
LFPO,06,DIKOL,LGL,2
LFPO,06,DIKOL,MONOT,2
LFPO,06,DIKOL,NURMO,2
LFPO,06,DIKOL,OKASI,2
LFPO,06,DIKOL,OLZOM,2
LFPO,06,DIKOL,OPALE,2
LFPO,06,DIKOL,PILUL,2

LFPO,06,DORDI,AGOPA,2
LFPO,06,DORDI,ATREX,2
LFPO,06,DORDI,BUBLI,2
LFPO,06,DORDI,DIKOL,2
