# SID Intervals for LFBO - Toulouse Blagnac
# Available SIDs: AMOLO, FINOT, FISTO, GAUDE, LACOU, LMB, MEN, MORIL, RIBOU
# Format: <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

## RWY 14L
LFBO,14R,MORIL,MEN,2
LFBO,14R,MORIL,MORIL,2
LFBO,14R,MORIL,RIBOU,2

LFBO,14R,RIBOU,AMOLO,2
LFBO,14R,RIBOU,FINOT,2
LFBO,14R,RIBOU,FISTO,2
LFBO,14R,RIBOU,GAUDE,2
LFBO,14R,RIBOU,LACOU,2
LFBO,14R,RIBOU,LMB,2
LFBO,14R,RIBOU,MEN,2
LFBO,14R,RIBOU,MORIL,2
LFBO,14R,RIBOU,RIBOU,2

## RWY 32L
LFBO,32L,AMOLO,AMOLO,2
LFBO,32L,AMOLO,FINOT,2
LFBO,32L,AMOLO,FISTO,2
LFBO,32L,AMOLO,GAUDE,2
LFBO,32L,AMOLO,LACOU,2
LFBO,32L,AMOLO,LMB,2
LFBO,32L,AMOLO,MEN,2
LFBO,32L,AMOLO,MORIL,2
LFBO,32L,AMOLO,RIBOU,2

LFBO,32L,FINOT,AMOLO,2
LFBO,32L,FINOT,FINOT,2
LFBO,32L,FINOT,FISTO,2
LFBO,32L,FINOT,GAUDE,2
LFBO,32L,FINOT,LACOU,2
LFBO,32L,FINOT,LMB,2
LFBO,32L,FINOT,MEN,2
LFBO,32L,FINOT,MORIL,2
LFBO,32L,FINOT,RIBOU,2

LFBO,32L,FISTO,AMOLO,2
LFBO,32L,FISTO,FINOT,2
LFBO,32L,FISTO,FISTO,2
LFBO,32L,FISTO,GAUDE,2
LFBO,32L,FISTO,LACOU,2
LFBO,32L,FISTO,LMB,2
LFBO,32L,FISTO,MEN,2
LFBO,32L,FISTO,MORIL,2
LFBO,32L,FISTO,RIBOU,2

LFBO,32L,GAUDE,AMOLO,2
LFBO,32L,GAUDE,FINOT,2
LFBO,32L,GAUDE,FISTO,2
LFBO,32L,GAUDE,GAUDE,2
LFBO,32L,GAUDE,LACOU,2
LFBO,32L,GAUDE,LMB,2
LFBO,32L,GAUDE,MEN,2
LFBO,32L,GAUDE,MORIL,2
LFBO,32L,GAUDE,RIBOU,2

LFBO,32L,LACOU,AMOLO,2
LFBO,32L,LACOU,FINOT,2
LFBO,32L,LACOU,FISTO,2
LFBO,32L,LACOU,GAUDE,2
LFBO,32L,LACOU,LACOU,2
LFBO,32L,LACOU,LMB,2
LFBO,32L,LACOU,MEN,2
LFBO,32L,LACOU,MORIL,2
LFBO,32L,LACOU,RIBOU,2

LFBO,32L,LMB,AMOLO,2
LFBO,32L,LMB,FINOT,2
LFBO,32L,LMB,FISTO,2
LFBO,32L,LMB,GAUDE,2
LFBO,32L,LMB,LACOU,2
LFBO,32L,LMB,LMB,2
LFBO,32L,LMB,MEN,2
LFBO,32L,LMB,MORIL,2
LFBO,32L,LMB,RIBOU,2

LFBO,32L,MEN,AMOLO,2
LFBO,32L,MEN,FINOT,2
LFBO,32L,MEN,FISTO,2
LFBO,32L,MEN,GAUDE,2
LFBO,32L,MEN,LACOU,2
LFBO,32L,MEN,LMB,2
LFBO,32L,MEN,MEN,2
LFBO,32L,MEN,MORIL,2
LFBO,32L,MEN,RIBOU,2

LFBO,32L,MORIL,AMOLO,2
LFBO,32L,MORIL,FINOT,2
LFBO,32L,MORIL,FISTO,2
LFBO,32L,MORIL,GAUDE,2
LFBO,32L,MORIL,LACOU,2
LFBO,32L,MORIL,LMB,2
LFBO,32L,MORIL,MEN,2
LFBO,32L,MORIL,MORIL,2
LFBO,32L,MORIL,RIBOU,2

LFBO,32L,RIBOU,AMOLO,2
LFBO,32L,RIBOU,FINOT,2
LFBO,32L,RIBOU,FISTO,2
LFBO,32L,RIBOU,GAUDE,2
LFBO,32L,RIBOU,LACOU,2
LFBO,32L,RIBOU,LMB,2
LFBO,32L,RIBOU,MEN,2
LFBO,32L,RIBOU,MORIL,2
LFBO,32L,RIBOU,RIBOU,2

## RWY 32R
LFBO,32R,AMOLO,AMOLO,2
LFBO,32R,AMOLO,FINOT,2
LFBO,32R,AMOLO,FISTO,2
LFBO,32R,AMOLO,GAUDE,2
LFBO,32R,AMOLO,LACOU,2
LFBO,32R,AMOLO,LMB,2
LFBO,32R,AMOLO,MEN,2
LFBO,32R,AMOLO,MORIL,2
LFBO,32R,AMOLO,RIBOU,2

LFBO,32R,FINOT,AMOLO,2
LFBO,32R,FINOT,FINOT,2
LFBO,32R,FINOT,FISTO,2
LFBO,32R,FINOT,GAUDE,2
LFBO,32R,FINOT,LACOU,2
LFBO,32R,FINOT,LMB,2
LFBO,32R,FINOT,MEN,2
LFBO,32R,FINOT,MORIL,2
LFBO,32R,FINOT,RIBOU,2

LFBO,32R,FISTO,AMOLO,2
LFBO,32R,FISTO,FINOT,2
LFBO,32R,FISTO,FISTO,2
LFBO,32R,FISTO,GAUDE,2
LFBO,32R,FISTO,LACOU,2
LFBO,32R,FISTO,LMB,2
LFBO,32R,FISTO,MEN,2
LFBO,32R,FISTO,MORIL,2
LFBO,32R,FISTO,RIBOU,2

LFBO,32R,GAUDE,AMOLO,2
LFBO,32R,GAUDE,FINOT,2
LFBO,32R,GAUDE,FISTO,2
LFBO,32R,GAUDE,GAUDE,2
LFBO,32R,GAUDE,LACOU,2
LFBO,32R,GAUDE,LMB,2
LFBO,32R,GAUDE,MEN,2
LFBO,32R,GAUDE,MORIL,2
LFBO,32R,GAUDE,RIBOU,2

LFBO,32R,LACOU,AMOLO,2
LFBO,32R,LACOU,FINOT,2
LFBO,32R,LACOU,FISTO,2
LFBO,32R,LACOU,GAUDE,2
LFBO,32R,LACOU,LACOU,2
LFBO,32R,LACOU,LMB,2
LFBO,32R,LACOU,MEN,2
LFBO,32R,LACOU,MORIL,2
LFBO,32R,LACOU,RIBOU,2

LFBO,32R,LMB,AMOLO,2
LFBO,32R,LMB,FINOT,2
LFBO,32R,LMB,FISTO,2
LFBO,32R,LMB,GAUDE,2
LFBO,32R,LMB,LACOU,2
LFBO,32R,LMB,LMB,2
LFBO,32R,LMB,MEN,2
LFBO,32R,LMB,MORIL,2
LFBO,32R,LMB,RIBOU,2

LFBO,32R,MEN,AMOLO,2
LFBO,32R,MEN,FINOT,2
LFBO,32R,MEN,FISTO,2
LFBO,32R,MEN,GAUDE,2
LFBO,32R,MEN,LACOU,2
LFBO,32R,MEN,LMB,2
LFBO,32R,MEN,MEN,2
LFBO,32R,MEN,MORIL,2
LFBO,32R,MEN,RIBOU,2

LFBO,32R,MORIL,AMOLO,2
LFBO,32R,MORIL,FINOT,2
LFBO,32R,MORIL,FISTO,2
LFBO,32R,MORIL,GAUDE,2
LFBO,32R,MORIL,LACOU,2
LFBO,32R,MORIL,LMB,2
LFBO,32R,MORIL,MEN,2
LFBO,32R,MORIL,MORIL,2
LFBO,32R,MORIL,RIBOU,2

LFBO,32R,RIBOU,AMOLO,2
LFBO,32R,RIBOU,FINOT,2
LFBO,32R,RIBOU,FISTO,2
LFBO,32R,RIBOU,GAUDE,2
LFBO,32R,RIBOU,LACOU,2
LFBO,32R,RIBOU,LMB,2
LFBO,32R,RIBOU,MEN,2
LFBO,32R,RIBOU,MORIL,2
LFBO,32R,RIBOU,RIBOU,2
