# SID Intervals for LFLL - Saint-Exupery
# Available SIDs: ALURA, BELEP, BELUS, BUSIL, MABES, MADOT, MOKIP, MURRO, REPSI, RISOR, ROMAM
# Format: <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

## RWY 17L
LFLL,17R,BELUS,MOKIP,2
LFLL,17R,BELUS,MURRO,2
LFLL,17R,BELUS,REPSI,2
LFLL,17R,BELUS,RISOR,2
LFLL,17R,BELUS,ROMAM,2

LFLL,17R,BUSIL,ALURA,2
LFLL,17R,BUSIL,BELEP,2
LFLL,17R,BUSIL,BELUS,2
LFLL,17R,BUSIL,BUSIL,2
LFLL,17R,BUSIL,MABES,2
LFLL,17R,BUSIL,MADOT,2
LFLL,17R,BUSIL,MOKIP,2
LFLL,17R,BUSIL,MURRO,2
LFLL,17R,BUSIL,REPSI,2
LFLL,17R,BUSIL,RISOR,2
LFLL,17R,BUSIL,ROMAM,2

LFLL,17R,MABES,ALURA,2
LFLL,17R,MABES,BELEP,2
LFLL,17R,MABES,BELUS,2
LFLL,17R,MABES,BUSIL,2
LFLL,17R,MABES,MABES,2
LFLL,17R,MABES,MADOT,2
LFLL,17R,MABES,MOKIP,2
LFLL,17R,MABES,MURRO,2
LFLL,17R,MABES,REPSI,2
LFLL,17R,MABES,RISOR,2
LFLL,17R,MABES,ROMAM,2

LFLL,17R,MADOT,ALURA,2
LFLL,17R,MADOT,BELEP,2
LFLL,17R,MADOT,BELUS,2
LFLL,17R,MADOT,BUSIL,2
LFLL,17R,MADOT,MABES,2
LFLL,17R,MADOT,MADOT,2
LFLL,17R,MADOT,MOKIP,2
LFLL,17R,MADOT,MURRO,2
LFLL,17R,MADOT,REPSI,2
LFLL,17R,MADOT,RISOR,2
LFLL,17R,MADOT,ROMAM,2

LFLL,17R,MOKIP,ALURA,2
LFLL,17R,MOKIP,BELEP,2
LFLL,17R,MOKIP,BELUS,2
LFLL,17R,MOKIP,BUSIL,2
LFLL,17R,MOKIP,MABES,2
LFLL,17R,MOKIP,MADOT,2
LFLL,17R,MOKIP,MOKIP,2
LFLL,17R,MOKIP,MURRO,2
LFLL,17R,MOKIP,REPSI,2
LFLL,17R,MOKIP,RISOR,2
LFLL,17R,MOKIP,ROMAM,2

LFLL,17R,MURRO,ALURA,2
LFLL,17R,MURRO,BELEP,2
LFLL,17R,MURRO,BELUS,2
LFLL,17R,MURRO,BUSIL,2
LFLL,17R,MURRO,MABES,2
LFLL,17R,MURRO,MADOT,2
LFLL,17R,MURRO,MOKIP,2
LFLL,17R,MURRO,MURRO,2
LFLL,17R,MURRO,REPSI,2
LFLL,17R,MURRO,RISOR,2
LFLL,17R,MURRO,ROMAM,2

LFLL,17R,REPSI,ALURA,2
LFLL,17R,REPSI,BELEP,2
LFLL,17R,REPSI,BELUS,2
LFLL,17R,REPSI,BUSIL,2
LFLL,17R,REPSI,MABES,2
LFLL,17R,REPSI,MADOT,2
LFLL,17R,REPSI,MOKIP,2
LFLL,17R,REPSI,MURRO,2
LFLL,17R,REPSI,REPSI,2
LFLL,17R,REPSI,RISOR,2
LFLL,17R,REPSI,ROMAM,2

LFLL,17R,RISOR,ALURA,2
LFLL,17R,RISOR,BELEP,2
LFLL,17R,RISOR,BELUS,2
LFLL,17R,RISOR,BUSIL,2
LFLL,17R,RISOR,MABES,2
LFLL,17R,RISOR,MADOT,2
LFLL,17R,RISOR,MOKIP,2
LFLL,17R,RISOR,MURRO,2
LFLL,17R,RISOR,REPSI,2
LFLL,17R,RISOR,RISOR,2
LFLL,17R,RISOR,ROMAM,2

LFLL,17R,ROMAM,ALURA,2
LFLL,17R,ROMAM,BELEP,2
LFLL,17R,ROMAM,BELUS,2
LFLL,17R,ROMAM,BUSIL,2
LFLL,17R,ROMAM,MABES,2
LFLL,17R,ROMAM,MADOT,2
LFLL,17R,ROMAM,MOKIP,2
LFLL,17R,ROMAM,MURRO,2
LFLL,17R,ROMAM,REPSI,2
LFLL,17R,ROMAM,RISOR,2
LFLL,17R,ROMAM,ROMAM,2

## RWY 35L
LFLL,35L,ALURA,ALURA,2
LFLL,35L,ALURA,BELEP,2
LFLL,35L,ALURA,BELUS,2
LFLL,35L,ALURA,BUSIL,2
LFLL,35L,ALURA,MABES,2
LFLL,35L,ALURA,MOKIP,2
LFLL,35L,ALURA,MURRO,2
LFLL,35L,ALURA,REPSI,2
LFLL,35L,ALURA,RISOR,2
LFLL,35L,ALURA,ROMAM,2

LFLL,35L,BELEP,ALURA,2
LFLL,35L,BELEP,BELEP,2
LFLL,35L,BELEP,BELUS,2
LFLL,35L,BELEP,BUSIL,2
